session_id,source_folder,setting,block_id,trial_id,condition,stimulus_orientation,response_key,correct,stimulus_onset_timestamp,response_timestamp,reaction_time_ms,rt_between_100_and_1500,trial_interval_start,trial_interval_end,temporal_alignment_verified,corresponding_facial_record_count,rq1_qualified_trial,exclusion_reason
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,2,6,CHALLENGE,LEFT,F_or_left_click,True,,,546.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,2,7,CHALLENGE,LEFT,F_or_left_click,True,,,676.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,2,8,CHALLENGE,RIGHT,F_or_left_click,False,,,147.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,2,9,CHALLENGE,RIGHT,J_or_right_click,True,,,636.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,0,THREAT,LEFT,F_or_left_click,True,,,742.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,1,THREAT,LEFT,F_or_left_click,True,,,868.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,2,THREAT,LEFT,F_or_left_click,True,,,1183.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,3,THREAT,LEFT,F_or_left_click,True,,,627.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,4,THREAT,LEFT,F_or_left_click,True,,,488.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,5,THREAT,RIGHT,J_or_right_click,True,,,835.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,6,THREAT,LEFT,F_or_left_click,True,,,934.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,7,THREAT,RIGHT,J_or_right_click,True,,,641.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,8,THREAT,LEFT,J_or_right_click,False,,,839.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,3,9,THREAT,LEFT,J_or_right_click,False,,,840.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,0,CHALLENGE,LEFT,F_or_left_click,True,,,1240.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,1,CHALLENGE,RIGHT,J_or_right_click,True,,,4835.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,2,CHALLENGE,RIGHT,J_or_right_click,True,,,1814.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,3,CHALLENGE,RIGHT,J_or_right_click,True,,,1584.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,4,CHALLENGE,LEFT,J_or_right_click,False,,,848.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,5,CHALLENGE,RIGHT,F_or_left_click,False,,,644.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,6,CHALLENGE,RIGHT,F_or_left_click,False,,,2268.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,7,CHALLENGE,LEFT,F_or_left_click,True,,,1161.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
